"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 03, 2017","241.00","241.00","241.00","241.00","0.29K","-2.82%"
"Feb 02, 2017","248.00","248.00","248.00","248.00","0.21K","-2.36%"
"Feb 01, 2017","254.00","254.00","254.00","254.00","0.22K","-7.30%"
"Jan 31, 2017","274.00","274.00","274.00","274.00","-","0.00%"
"Jan 30, 2017","274.00","274.00","274.00","274.00","-","-1.08%"
"Jan 27, 2017","277.00","277.00","277.00","277.00","-","-0.36%"
"Jan 26, 2017","278.00","278.00","278.00","278.00","0.05K","-2.46%"
"Jan 25, 2017","285.00","285.00","285.00","285.00","0.03K","1.42%"
"Jan 24, 2017","281.00","281.00","281.00","281.00","0.01K","-1.40%"
"Jan 23, 2017","285.00","285.00","285.00","285.00","0.75K","0.00%"
"Jan 20, 2017","285.00","285.00","285.00","285.00","-","0.00%"
"Jan 19, 2017","285.00","285.00","285.00","285.00","-","0.00%"
"Jan 18, 2017","285.00","285.00","285.00","285.00","0.01K","-2.06%"
"Jan 17, 2017","291.00","291.00","291.00","291.00","0.31K","-0.17%"
"Jan 16, 2017","291.50","291.50","291.50","291.50","-","-0.85%"
"Jan 13, 2017","294.00","294.00","294.00","294.00","0.02K","1.03%"
"Jan 12, 2017","291.00","291.00","291.00","291.00","0.01K","0.00%"
"Jan 11, 2017","291.00","291.00","291.00","291.00","0.23K","-2.02%"
"Jan 10, 2017","297.00","297.00","297.00","297.00","0.02K","0.68%"
"Jan 09, 2017","295.00","295.00","295.00","295.00","0.00K","-0.84%"
"Jan 06, 2017","297.50","297.50","297.50","297.50","0.30K","0.00%"
"Jan 05, 2017","297.50","297.50","297.50","297.50","-","0.17%"
"Jan 04, 2017","297.00","297.00","297.00","297.00","-","0.00%"
"Jan 03, 2017","297.00","297.00","297.00","297.00","-","6.93%"
"Dec 30, 2016","277.75","277.75","277.75","277.75","-","-2.20%"
"Dec 29, 2016","284.00","284.00","284.00","284.00","-","-0.35%"
"Dec 28, 2016","285.00","285.00","285.00","285.00","-","0.00%"
"Dec 23, 2016","285.00","285.00","285.00","285.00","0.03K","3.64%"
"Dec 22, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Dec 21, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Dec 20, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Dec 19, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Dec 16, 2016","275.00","275.00","275.00","275.00","0.06K","1.85%"
"Dec 15, 2016","270.00","270.00","270.00","270.00","-","0.00%"
"Dec 14, 2016","270.00","270.00","270.00","270.00","-","0.00%"
"Dec 13, 2016","270.00","270.00","270.00","270.00","0.03K","0.00%"
"Dec 12, 2016","270.00","270.00","270.00","270.00","0.06K","-2.88%"
"Dec 09, 2016","278.00","278.00","278.00","278.00","-","-0.54%"
"Dec 08, 2016","279.50","279.50","279.50","279.50","0.01K","1.64%"
"Dec 07, 2016","275.00","275.00","275.00","275.00","-","0.00%"
"Dec 06, 2016","275.00","275.00","275.00","275.00","0.03K","-0.72%"
"Dec 05, 2016","277.00","277.00","277.00","277.00","0.02K","-0.36%"
"Dec 02, 2016","278.00","278.00","278.00","278.00","0.28K","0.00%"
"Dec 01, 2016","278.00","278.00","278.00","278.00","0.28K","5.00%"
"Nov 30, 2016","264.77","264.77","264.77","264.77","-","0.29%"
"Nov 29, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 28, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 25, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 24, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 23, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 22, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 21, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 18, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 17, 2016","264.00","264.00","264.00","264.00","-","0.00%"
"Nov 16, 2016","264.00","264.00","264.00","264.00","-","0.38%"
"Nov 15, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 14, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 11, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 10, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 09, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 08, 2016","263.00","263.00","263.00","263.00","-","0.00%"
"Nov 07, 2016","263.00","263.00","263.00","263.00","0.03K","1.15%"
"Nov 04, 2016","260.00","260.00","260.00","260.00","-","0.00%"
"Nov 03, 2016","260.00","260.00","260.00","260.00","0.02K","4.00%"
"Nov 02, 2016","250.00","250.00","250.00","250.00","-","0.00%"
"Nov 01, 2016","250.00","250.00","250.00","250.00","-","11.92%"
"Oct 31, 2016","223.38","223.38","223.38","223.38","-","1.08%"
"Oct 28, 2016","221.00","221.00","221.00","221.00","-","0.00%"
"Oct 27, 2016","221.00","221.00","221.00","221.00","-","0.00%"
"Oct 26, 2016","221.00","221.00","221.00","221.00","-","0.45%"
