"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 11, 2010","7,432.00","7,432.00","7,432.00","7,432.00","-","0.31%"
"Mar 10, 2010","7,408.75","7,408.75","7,408.75","7,408.75","-","-0.94%"
"Mar 09, 2010","7,479.00","7,479.00","7,479.00","7,479.00","-","0.51%"
"Mar 08, 2010","7,441.25","7,441.25","7,441.25","7,441.25","-","-1.04%"
"Mar 05, 2010","7,519.50","7,519.50","7,519.50","7,519.50","-","2.01%"
"Mar 04, 2010","7,371.50","7,371.50","7,371.50","7,371.50","-","-2.44%"
"Mar 03, 2010","7,555.75","7,555.75","7,555.75","7,555.75","-","1.18%"
"Mar 02, 2010","7,467.50","7,467.50","7,467.50","7,467.50","-","1.23%"
"Mar 01, 2010","7,377.00","7,377.00","7,377.00","7,377.00","-","2.82%"
"Feb 26, 2010","7,175.00","7,175.00","7,175.00","7,175.00","-","2.81%"
"Feb 25, 2010","6,979.00","6,979.00","6,979.00","6,979.00","-","-2.17%"
"Feb 24, 2010","7,134.00","7,134.00","7,134.00","7,134.00","-","0.28%"
"Feb 23, 2010","7,114.00","7,114.00","7,114.00","7,114.00","-","-2.73%"
"Feb 22, 2010","7,313.50","7,313.50","7,313.50","7,313.50","-","-1.39%"
"Feb 19, 2010","7,416.50","7,416.50","7,416.50","7,416.50","-","2.32%"
"Feb 18, 2010","7,248.50","7,248.50","7,248.50","7,248.50","-","5.87%"
"Feb 15, 2010","6,846.75","6,846.75","6,846.75","6,846.75","-","0.75%"
"Feb 12, 2010","6,795.75","6,795.75","6,795.75","6,795.75","-","-1.82%"
"Feb 11, 2010","6,922.00","6,922.00","6,922.00","6,922.00","-","6.24%"
"Feb 10, 2010","6,515.50","6,515.50","6,515.50","6,515.50","-","-0.84%"
"Feb 09, 2010","6,570.50","6,570.50","6,570.50","6,570.50","-","2.18%"
"Feb 08, 2010","6,430.50","6,430.50","6,430.50","6,430.50","-","2.68%"
"Feb 05, 2010","6,262.50","6,262.50","6,262.50","6,262.50","-","-1.70%"
